Epoch,Train Loss,Test Accuracy
1,1.7952037235660017,40.07
2,1.447409070666184,51.15
3,1.1913943615410945,61.74
4,1.0060858339299936,62.33
5,0.8749358375054186,66.14
6,0.7778734217214462,70.63
7,0.7026053218128127,63.26
8,0.6600638364282105,73.31
9,0.6330656010628967,75.9
10,0.6053052011810606,66.9
11,0.5869699196742318,68.99
12,0.5638483132395293,77.91
13,0.5540344779906066,73.35
14,0.537738405911209,75.45
15,0.5165549782688356,68.28
16,0.515490133286742,78.88
17,0.49876043147138316,76.45
18,0.4880887831720855,67.83
19,0.4778436792018773,75.96
20,0.4758191558406176,76.06
21,0.46998009885973335,70.05
22,0.464640610129632,68.47
23,0.45199737997006273,80.1
24,0.4507417602993338,79.96
25,0.4381874408715826,78.36
26,0.4369070670183967,78.82
27,0.42897616342053085,80.47
28,0.4326588114356751,74.39
29,0.42475112510459195,76.34
30,0.42082853744859283,79.73
31,0.41838202486410164,82.88
32,0.40983922836725667,81.46
33,0.41469102956907217,82.36
34,0.4051202393858634,82.53
35,0.4053136954831955,80.4
36,0.40153306619742946,77.26
37,0.39494332049966163,78.04
38,0.39339316192337925,73.99
39,0.3907494565943623,69.94
40,0.39105616605190363,81.46
41,0.38830595213891295,77.36
42,0.38478314830823934,81.38
43,0.3820790113390559,78.63
44,0.3866627647367585,73.72
45,0.3744869860999115,82.58
46,0.3766123735919938,81.3
47,0.37723492322218083,78.77
48,0.37155722546607944,84.56
49,0.36931929765912275,80.35
50,0.367157322442745,80.16
51,0.36753985514421295,83.92
52,0.35828999862494065,80.33
53,0.3570998335814537,82.47
54,0.36055134133914546,80.21
55,0.3554841292559948,85.24
56,0.35499896825579424,79.15
57,0.3479539151005733,80.35
58,0.34558159764617913,80.5
59,0.3517751587778711,83.75
60,0.3451177438201807,80.03
61,0.34166307263362133,82.69
62,0.33830521478677344,75.85
63,0.33736426937763037,80.17
64,0.3347365588254636,85.3
65,0.3322229450544738,78.64
66,0.32702267787340655,79.41
67,0.33027734959979194,84.0
68,0.32237855949060384,82.85
69,0.3172685232232599,82.11
70,0.32221292458531803,83.98
71,0.3170087075294436,85.16
72,0.31180163806356737,84.61
73,0.3191626511723794,85.88
74,0.31013101266930476,82.28
75,0.3011629526572459,81.1
76,0.30280767322120156,84.45
77,0.30224183045537273,85.53
78,0.30046565190453056,82.6
79,0.29695622569612223,82.91
80,0.2968299798572155,84.58
81,0.29512147026141283,82.97
82,0.2898047024103077,86.72
83,0.2866226368014465,85.62
84,0.28452279794094204,82.75
85,0.2787679859896755,86.45
86,0.2767078645165314,82.76
87,0.27553244506763985,86.77
88,0.2748681749110027,79.54
89,0.27441841527781524,88.01
90,0.2692649810172408,86.68
91,0.26473827991644133,84.23
92,0.260965239856859,85.4
93,0.2586400725728715,87.17
94,0.2565511014988965,83.33
95,0.24998726240356864,87.14
96,0.25149218816205365,87.17
97,0.2525696275598558,82.41
98,0.24321750461902764,86.77
99,0.23845528609231306,85.2
100,0.24300808106999264,86.6
101,0.24236188245856244,88.1
